gene	name	a1	a2	a3	b1	b2	b3	c1	c2	c3	d1	d2	d3
ENSRNOG00000000001	Arsj	425	453	359	308	364	269	320	318	317	344	210	417
ENSRNOG00000000007	Gad1	0	0	0	0	0	1	0	0	0	0	0	0
ENSRNOG00000000008	Alx4	2	0	0	0	0	0	0	5	0	0	0	0
ENSRNOG00000000009	Tmco5b	0	0	0	0	0	0	0	0	0	0	3	0
ENSRNOG00000000010	Cbln1	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000012	Tcf15	0	0	0	0	0	0	0	0	1	0	0	0
ENSRNOG00000000017	Steap1	278	202	272	214	349	267	239	219	199	240	96	217
ENSRNOG00000000024	Hebp1	580	510	546	553	617	621	649	565	511	574	309	536
ENSRNOG00000000033	Tmcc2	59	80	60	91	85	85	66	71	63	87	43	93
ENSRNOG00000000034	Nuak2	379	452	497	324	392	274	350	322	326	376	204	347
ENSRNOG00000000035	Tmed11	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000036	Klhdc8a	75	50	52	57	34	80	43	51	54	62	33	31
ENSRNOG00000000040	RGD1304622	616	726	612	700	722	605	626	578	664	686	381	724
ENSRNOG00000000041	Slc26a1	107	109	96	97	102	116	128	121	95	64	66	83
ENSRNOG00000000042	Xpr1	831	745	723	734	722	665	681	757	661	684	363	718
ENSRNOG00000000043	Idua	602	543	580	491	509	496	492	538	621	536	262	490
ENSRNOG00000000044	Tmem175	178	146	188	181	144	165	191	137	159	163	92	179
ENSRNOG00000000047	Cd82	2364	2292	2294	1989	2253	2031	2314	2109	2046	1748	1030	1814
ENSRNOG00000000048	Gak	2878	2341	2636	2622	2804	2402	2406	2787	2448	2441	1249	2604
ENSRNOG00000000054	Abhd8	1879	1480	1508	1722	1871	1822	1647	1730	1659	1658	843	1567
ENSRNOG00000000055	Fcrl6	0	0	4	0	0	0	0	0	0	0	0	0
ENSRNOG00000000062	Pcgf3	1404	1116	1207	1125	1234	1027	1156	1106	1079	1185	582	1044
ENSRNOG00000000064	Atp5me	550	360	495	420	569	465	495	520	439	464	227	444
ENSRNOG00000000065	Pde6b	0	0	4	0	0	0	0	2	0	0	0	0
ENSRNOG00000000066	Fbxo28	730	593	632	728	812	629	677	617	733	666	343	746
ENSRNOG00000000068	Ppp2r5a	1080	883	878	946	1036	901	924	1006	959	1044	517	1023
ENSRNOG00000000070	Dr1	1058	815	862	927	1023	927	826	1007	819	847	479	1001
ENSRNOG00000000073	Tmed5	1038	849	1091	850	968	826	929	823	809	861	398	887
ENSRNOG00000000075	Mtf2	953	718	782	933	958	818	824	818	799	809	397	864
ENSRNOG00000000081	Antxr2	2084	2011	2028	1700	1837	1706	1817	1899	1815	1601	831	1820
ENSRNOG00000000082	Hltf	1182	1111	1278	1044	1130	1144	1311	1222	1167	971	526	1026
ENSRNOG00000000091	Smad9	45	28	24	20	23	12	44	70	34	23	24	32
ENSRNOG00000000095	Gpr89b	540	549	494	680	719	587	566	544	542	625	288	618
ENSRNOG00000000096	Pdzk1	185	136	156	221	171	144	117	194	172	167	104	198
ENSRNOG00000000098	Rnf115	2472	2248	2376	2189	2225	2185	1999	2184	1929	2046	1045	2031
ENSRNOG00000000104	Thoc3	1418	1175	1323	1294	1509	1233	1341	1396	1328	1157	616	1261
ENSRNOG00000000105	Cplx2	144	114	175	103	203	130	132	176	123	134	89	180
ENSRNOG00000000108	Aga	1367	1212	1249	1238	1465	1120	1384	1396	1307	1137	651	1213
ENSRNOG00000000109	Fgf20	10	13	12	5	19	18	16	29	5	16	9	12
ENSRNOG00000000111	Coprs	180	145	172	155	195	206	173	141	178	175	73	158
ENSRNOG00000000112	Champ1	751	634	596	567	619	594	615	795	557	585	276	553
ENSRNOG00000000113	Elac1	42	27	35	47	38	29	29	23	45	36	19	41
ENSRNOG00000000121	Pigv	155	146	141	163	172	157	165	167	160	210	69	170
ENSRNOG00000000122	Ak2	3725	3189	3259	3375	3695	3463	3275	3449	3071	3413	1510	3383
ENSRNOG00000000123	Rnf19b	4261	4129	4309	4130	3950	3468	2805	3476	3207	3673	1677	3414
ENSRNOG00000000127	Kpna6	1173	960	1120	1203	1312	1052	1086	1186	1018	1091	615	1183
ENSRNOG00000000129	Phf24	31	50	30	45	57	72	50	55	47	78	29	36
ENSRNOG00000000130	Dnajb5	882	740	791	849	946	936	896	927	788	929	486	789
ENSRNOG00000000133	Txndc15	1601	1186	1209	1199	1346	1185	1303	1437	1258	1281	622	1170
ENSRNOG00000000137	Ly86	0	0	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000000138	Glis1	89	89	68	108	119	70	88	80	68	104	50	73
ENSRNOG00000000142	Plxdc2	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000145	Pik3r3	2675	2127	2164	2614	2700	2197	2116	2608	2214	2506	1176	2565
ENSRNOG00000000150	Dnajc1	435	399	347	354	465	410	360	371	375	403	187	362
ENSRNOG00000000151	Ldlrap1	1796	1397	1492	1436	1554	1306	1466	1565	1461	1443	710	1445
ENSRNOG00000000155	Cog3	1102	938	1027	832	870	793	898	901	885	847	370	801
ENSRNOG00000000156	Megf6	7	11	3	0	7	0	4	10	10	1	4	5
ENSRNOG00000000157	Atg12	824	793	761	776	924	793	887	923	679	762	359	744
ENSRNOG00000000158	Cdo1	7	4	5	6	0	1	4	2	0	0	3	1
ENSRNOG00000000161	Chm	612	571	521	492	649	550	565	530	466	503	274	601
ENSRNOG00000000164	Lamp2	5456	4884	5465	4929	6067	4874	4925	5137	5208	4812	2480	5105
ENSRNOG00000000165	Pfkfb1	255	252	253	182	267	224	193	218	239	230	104	162
ENSRNOG00000000166	Apex2	466	407	399	507	556	443	395	401	376	470	212	474
ENSRNOG00000000167	Alas2	14	12	9	12	13	8	5	8	14	7	2	11
ENSRNOG00000000168	Gatm	1058	953	939	1063	1006	1066	1060	1205	961	1117	531	1031
ENSRNOG00000000169	Spata5l1	110	120	161	133	103	127	74	130	123	128	62	83
ENSRNOG00000000170	Slc30a4	1261	1069	1123	1361	1395	1275	1215	1469	1235	1260	565	1308
ENSRNOG00000000172	Sqor	580	477	528	512	626	548	555	583	552	572	264	596
ENSRNOG00000000175	Mier2	352	300	358	345	321	288	343	369	342	340	178	304
ENSRNOG00000000177	Plpp2	391	272	358	276	393	329	326	321	334	330	169	327
ENSRNOG00000000184	Tmprss6	508	504	448	465	402	409	489	544	489	402	233	421
ENSRNOG00000000185	Mpst	843	741	754	500	587	553	789	758	770	484	278	520
ENSRNOG00000000186	Tst	512	337	418	403	320	357	439	491	376	403	185	319
ENSRNOG00000000187	Csf2rb	0	1	1	0	0	0	2	0	0	1	1	1
ENSRNOG00000000190	Ep300	0	0	0	1	0	0	0	0	0	0	0	0
ENSRNOG00000000195	Vwa5a	6544	6804	6821	4950	5418	4643	5439	5917	5439	4597	2371	5260
ENSRNOG00000000196	Cyp19a1	0	0	9	2	0	1	1	6	0	5	0	1
ENSRNOG00000000199	Dppa5	4	5	9	1	0	0	1	0	0	1	0	0
ENSRNOG00000000201	Gsta5	0	0	0	0	0	0	0	0	0	1	2	0
ENSRNOG00000000204	Syncrip	5325	4681	4691	4647	5123	4265	4534	4997	4433	4887	2255	4826
ENSRNOG00000000219	Ano10	536	479	411	402	380	362	461	427	410	436	225	339
ENSRNOG00000000221	Abhd5	955	756	737	837	841	732	722	856	650	738	338	737
ENSRNOG00000000230	Lmf1	433	516	399	385	537	399	440	415	433	431	195	352
ENSRNOG00000000231	Kctd17	2191	1848	1890	1952	1862	1794	1835	2028	1821	1789	932	1821
ENSRNOG00000000233	Grm6	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000236	Zfp207	2167	1978	1915	1923	1986	1716	1876	1906	1640	1809	837	1849
ENSRNOG00000000237	RGD1310429	290	222	227	230	254	259	308	257	276	283	155	300
ENSRNOG00000000239	Ccl7	3887	4288	5888	2793	3850	2517	3164	3640	3417	2200	938	2653
ENSRNOG00000000244	Coil	242	191	262	253	307	252	211	222	233	230	129	279
ENSRNOG00000000245	Slc16a6	3	0	11	2	7	2	9	1	9	6	5	2
ENSRNOG00000000246	Amz2	801	557	583	646	780	680	647	645	650	771	343	632
ENSRNOG00000000247	Mfsd11	922	775	828	691	768	666	783	835	735	603	325	757
ENSRNOG00000000248	Srsf2	8873	8122	8192	8439	8537	8113	7714	8655	7769	8047	4071	7646
ENSRNOG00000000249	Mettl23	10	18	34	32	27	34	21	22	20	33	9	37
ENSRNOG00000000250	Jmjd6	1604	1431	1629	2199	2657	2335	1359	1352	1476	2158	1068	2222
ENSRNOG00000000251	St6galnac1	260	265	313	237	218	167	248	251	188	142	115	208
ENSRNOG00000000257	Smpd3	1916	1404	1440	1053	847	726	1123	1496	1327	1005	539	1170
ENSRNOG00000000258	Prmt7	1391	1005	1091	1376	1326	1235	1087	1216	1240	1413	727	1386
ENSRNOG00000000262	Zfp821	626	538	621	560	596	591	562	549	665	583	294	571
ENSRNOG00000000264	Def8	472	418	373	424	508	466	488	479	467	449	253	419
ENSRNOG00000000274	Phyhipl	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000275	Fam13c	50	25	56	29	28	39	45	44	36	31	11	38
ENSRNOG00000000277	Tet1	10	7	7	17	25	11	5	15	5	18	3	13
ENSRNOG00000000279	Rtn4ip1	268	240	241	274	318	278	192	239	212	276	110	274
ENSRNOG00000000281	Prodh1	127	78	119	114	128	93	167	159	125	99	54	90
ENSRNOG00000000282	Gsc2	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000283	Ess2	948	837	821	717	867	768	686	910	786	774	435	838
ENSRNOG00000000288	Scarf2	2133	1877	1856	1758	1662	1580	1942	2137	1967	1739	874	1725
ENSRNOG00000000299	Foxo3	1654	1492	1583	1756	1720	1517	1573	1573	1499	1518	876	1819
