Gene stable ID,Gene stable ID version,Gene type,Gene name
ENSG00000261657,ENSG00000261657.1,protein_coding,SLC25A26
ENSG00000223116,ENSG00000223116.1,miRNA,AL157931.1
ENSG00000233440,ENSG00000233440.2,pseudogene,HMGA1P6
ENSG00000207157,ENSG00000207157.1,misc_RNA,RNY3P4
ENSG00000229483,ENSG00000229483.2,lincRNA,LINC00362
ENSG00000252952,ENSG00000252952.1,snRNA,RNU6-58P
ENSG00000235205,ENSG00000235205.1,pseudogene,TATDN2P3
ENSG00000232849,ENSG00000232849.1,lincRNA,LINC00363
ENSG00000236803,ENSG00000236803.1,pseudogene,SDAD1P4
ENSG00000232163,ENSG00000232163.2,pseudogene,RPLP1P13
ENSG00000252365,ENSG00000252365.1,snoRNA,SNORD22
ENSG00000229558,ENSG00000229558.1,lincRNA,SACS-AS1
ENSG00000235784,ENSG00000235784.2,pseudogene,HNRNPA1P29
ENSG00000224394,ENSG00000224394.1,antisense,GPC6-AS2
ENSG00000212559,ENSG00000212559.1,rRNA,RNA5SP35
ENSG00000232977,ENSG00000232977.2,lincRNA,LINC00327
ENSG00000236520,ENSG00000236520.2,antisense,GPC6-AS1
ENSG00000227893,ENSG00000227893.1,lincRNA,LINC00352
ENSG00000212057,ENSG00000212057.1,miRNA,AL139318.1
ENSG00000222129,ENSG00000222129.1,rRNA,RNA5SP36
ENSG00000232102,ENSG00000232102.1,pseudogene,MTCO3P2
ENSG00000242037,ENSG00000242037.2,misc_RNA,RN7SL585P
ENSG00000238230,ENSG00000238230.1,lincRNA,LINC00391
ENSG00000227640,ENSG00000227640.2,lincRNA,SOX21-AS1
ENSG00000205861,ENSG00000205861.7,antisense,C1QTNF9B-AS1
ENSG00000235768,ENSG00000235768.1,pseudogene,BRD7P5
ENSG00000237924,ENSG00000237924.1,pseudogene,RPL21P112
ENSG00000260962,ENSG00000260962.1,lincRNA,LINC00557
ENSG00000252335,ENSG00000252335.1,snRNA,RNU6-62P
ENSG00000238463,ENSG00000238463.1,snoRNA,snoU13
ENSG00000223298,ENSG00000223298.1,misc_RNA,RNY3P8
ENSG00000196593,ENSG00000196593.5,pseudogene,ANKRD20A19P
ENSG00000200211,ENSG00000200211.1,misc_RNA,RNY4P27
ENSG00000271492,ENSG00000271492.1,pseudogene,MEMO1P5
ENSG00000223392,ENSG00000223392.1,antisense,CLDN10-AS1
ENSG00000228741,ENSG00000228741.2,lincRNA,RP11-309I15.1
ENSG00000247400,ENSG00000247400.3,lincRNA,DNAJC3-AS1
ENSG00000225674,ENSG00000225674.1,pseudogene,IPO7P2
ENSG00000229622,ENSG00000229622.1,pseudogene,MTND5P2
ENSG00000252695,ENSG00000252695.1,miRNA,MIR2276
ENSG00000227213,ENSG00000227213.1,antisense,SPATA13-AS1
ENSG00000227714,ENSG00000227714.1,pseudogene,MTND6P18
ENSG00000240868,ENSG00000240868.1,antisense,C1QTNF9-AS1
ENSG00000232373,ENSG00000232373.2,pseudogene,MTCYBP3
ENSG00000234627,ENSG00000234627.2,pseudogene,NUS1P3
ENSG00000251901,ENSG00000251901.1,snoRNA,snR65
ENSG00000261498,ENSG00000261498.1,lincRNA,LINC00566
ENSG00000226977,ENSG00000226977.1,pseudogene,HMGN1P24
ENSG00000233545,ENSG00000233545.1,pseudogene,CYCSP33
ENSG00000242614,ENSG00000242614.2,misc_RNA,RN7SL164P
ENSG00000233273,ENSG00000233273.1,pseudogene,AMMECR1LP1
ENSG00000205822,ENSG00000205822.6,pseudogene,TPTE2P6
ENSG00000235137,ENSG00000235137.1,pseudogene,HSP90AB6P
ENSG00000243300,ENSG00000243300.2,lincRNA,LINC00359
ENSG00000266216,ENSG00000266216.1,miRNA,AL359538.2
ENSG00000244615,ENSG00000244615.1,pseudogene,PSPC1P2
ENSG00000234267,ENSG00000234267.2,pseudogene,TULP3P1
ENSG00000243008,ENSG00000243008.2,processed_transcript,RP11-556N21.1
ENSG00000272329,ENSG00000272329.1,lincRNA,RP11-65L19.4
ENSG00000211508,ENSG00000211508.1,miRNA,AL359538.1
ENSG00000222472,ENSG00000222472.1,misc_RNA,RN7SKP7
ENSG00000207474,ENSG00000207474.1,misc_RNA,RNY1P7
ENSG00000252154,ENSG00000252154.1,snoRNA,SNORD112
ENSG00000225404,ENSG00000225404.2,pseudogene,RPL26P34
ENSG00000238522,ENSG00000238522.1,snoRNA,snoU13
ENSG00000233124,ENSG00000233124.1,lincRNA,LINC00456
ENSG00000231417,ENSG00000231417.2,pseudogene,IRX1P1
ENSG00000202290,ENSG00000202290.1,rRNA,RNA5SP37
ENSG00000271625,ENSG00000271625.1,pseudogene,PSMA6P4
ENSG00000226695,ENSG00000226695.1,pseudogene,ANKRD20A10P
ENSG00000226134,ENSG00000226134.1,lincRNA,RP11-120E13.1
ENSG00000238407,ENSG00000238407.1,snoRNA,snoU13
ENSG00000233291,ENSG00000233291.1,pseudogene,RPL7AP61
ENSG00000270725,ENSG00000270725.1,lincRNA,RP11-383H17.4
ENSG00000253771,ENSG00000253771.1,pseudogene,TPTE2P1
ENSG00000232217,ENSG00000232217.1,pseudogene,FTLP8
